subject_id,motif_id,usage_percentage,frequency_starts,total_frames,source_path
Female7-CBD-DN5-02-19-21_DLC,3,2227.0,124,2227,Open-Field-Test\results\Female7-CBD-DN5-02-19-21_DLC\VAME\hmm-15
Female7-CBD-DN5-02-19-21_DLC,4,1014.0,119,1014,Open-Field-Test\results\Female7-CBD-DN5-02-19-21_DLC\VAME\hmm-15
Female7-CBD-DN5-02-19-21_DLC,5,1471.0,183,1471,Open-Field-Test\results\Female7-CBD-DN5-02-19-21_DLC\VAME\hmm-15
Female7-CBD-DN5-02-19-21_DLC,6,18.0,1,18,Open-Field-Test\results\Female7-CBD-DN5-02-19-21_DLC\VAME\hmm-15
Female7-CBD-DN5-02-19-21_DLC,7,481.0,25,481,Open-Field-Test\results\Female7-CBD-DN5-02-19-21_DLC\VAME\hmm-15
Female7-CBD-DN5-02-19-21_DLC,8,1290.0,90,1290,Open-Field-Test\results\Female7-CBD-DN5-02-19-21_DLC\VAME\hmm-15
Female7-CBD-DN5-02-19-21_DLC,9,545.0,21,545,Open-Field-Test\results\Female7-CBD-DN5-02-19-21_DLC\VAME\hmm-15
Female7-CBD-DN5-02-19-21_DLC,10,945.0,43,945,Open-Field-Test\results\Female7-CBD-DN5-02-19-21_DLC\VAME\hmm-15
Female7-CBD-DN5-02-19-21_DLC,11,1477.0,159,1477,Open-Field-Test\results\Female7-CBD-DN5-02-19-21_DLC\VAME\hmm-15
Female7-CBD-DN5-02-19-21_DLC,12,1113.0,78,1113,Open-Field-Test\results\Female7-CBD-DN5-02-19-21_DLC\VAME\hmm-15
Female7-CBD-DN5-02-19-21_DLC,13,2320.0,86,2320,Open-Field-Test\results\Female7-CBD-DN5-02-19-21_DLC\VAME\hmm-15
Female7-CBD-DN5-02-19-21_DLC,14,539.0,59,539,Open-Field-Test\results\Female7-CBD-DN5-02-19-21_DLC\VAME\hmm-15
Female8- CBD- DN6-02-19-21_DLC,0,1814.0,100,1814,Open-Field-Test\results\Female8- CBD- DN6-02-19-21_DLC\VAME\hmm-15
